Country_Name,Year,Country_Code,Gold,Silver,Bronze,Total,Season,GDP,Population,Gold_Net,Silver_Net,Bronze_Net,Total_Net
Israel,1968,ISR,0.0,0.0,0.0,0.0,0,1647877.274,2803000.0,0.0,0.0,0.0,0.0
Montenegro,1968,MNE,0.0,0.0,0.0,0.0,0,,517481.0,0.0,0.0,0.0,0.0
Djibouti,1968,DJI,0.0,0.0,0.0,0.0,0,,127668.0,0.0,0.0,0.0,0.0
Armenia,1968,ARM,0.0,0.0,0.0,0.0,0,,2416461.0,0.0,0.0,0.0,0.0
Tunisia,1968,TUN,1.0,0.0,1.0,2.0,Summer,253848.674,4785003.0,1.0,1.0,2.0,4.0
Ethiopia,1968,ETH,1.0,1.0,0.0,2.0,Summer,,26778653.0,3.0,1.0,0.0,4.0
Gabon,1968,GAB,0.0,0.0,0.0,0.0,0,513359.3403,573611.0,0.0,0.0,0.0,0.0
Poland,1968,POL,5.0,2.0,11.0,18.0,Summer,,32294655.0,16.0,15.0,33.0,64.0
Qatar,1968,QAT,0.0,0.0,0.0,0.0,0,,93022.0,0.0,0.0,0.0,0.0
Australia,1968,AUS,5.0,7.0,5.0,17.0,Summer,2723999.484,12009000.0,19.0,17.0,21.0,57.0
Turkmenistan,1968,TKM,0.0,0.0,0.0,0.0,0,,2078581.0,0.0,0.0,0.0,0.0
Cameroon,1968,CMR,0.0,1.0,0.0,1.0,Summer,170745.5914,6127193.0,0.0,1.0,0.0,1.0
Austria,1968,AUT,3.0,4.0,4.0,11.0,Winter,1677673.528,7415403.0,9.0,12.0,10.0,31.0
United States,1968,USA,1.0,5.0,1.0,7.0,Winter,4695923.39,200706000.0,75.0,58.0,52.0,185.0
Romania,1968,ROU,4.0,6.0,5.0,15.0,Summer,,19799831.0,9.0,11.0,17.0,37.0
Mexico,1968,MEX,3.0,3.0,3.0,9.0,Summer,622425.0634,47170337.0,3.0,3.0,5.0,11.0
Romania,1968,ROU,0.0,0.0,1.0,1.0,Winter,,19799831.0,9.0,11.0,18.0,38.0
Cyprus,1968,CYP,0.0,0.0,0.0,0.0,0,,632452.0,0.0,0.0,0.0,0.0
Kazakhstan,1968,KAZ,0.0,0.0,0.0,0.0,0,,11777849.0,0.0,0.0,0.0,0.0
Uganda,1968,UGA,0.0,1.0,1.0,2.0,Summer,107031.3041,9696370.0,0.0,1.0,1.0,2.0
United States,1968,USA,45.0,28.0,34.0,107.0,Summer,4695923.39,200706000.0,120.0,86.0,86.0,292.0
Iraq,1968,IRQ,0.0,0.0,0.0,0.0,0,316394.2627,9156132.0,0.0,0.0,1.0,1.0
Burundi,1968,BDI,0.0,0.0,0.0,0.0,0,54647.46568,3352397.0,0.0,0.0,0.0,0.0
Ireland,1968,IRL,0.0,0.0,0.0,0.0,0,1124516.6360000002,2915550.0,0.0,0.0,1.0,1.0
Ukraine,1968,UKR,0.0,0.0,0.0,0.0,0,,46635196.0,0.0,0.0,0.0,0.0
Japan,1968,JPN,11.0,7.0,7.0,25.0,Summer,1451337.703,101011000.0,31.0,19.0,22.0,72.0
North Macedonia,1968,MKD,0.0,0.0,0.0,0.0,0,,1610537.0,0.0,0.0,0.0,0.0
Finland,1968,FIN,1.0,2.0,1.0,4.0,Summer,1907077.2719999999,4626469.0,10.0,10.0,12.0,32.0
Namibia,1968,NAM,0.0,0.0,0.0,0.0,0,,712427.0,0.0,0.0,0.0,0.0
Jamaica,1968,JAM,0.0,1.0,0.0,1.0,Summer,598100.6359,1812209.0,0.0,1.0,0.0,1.0
Norway,1968,NOR,6.0,6.0,2.0,14.0,Winter,2662117.492,3816486.0,13.0,15.0,8.0,36.0
Mozambique,1968,MOZ,0.0,0.0,0.0,0.0,0,,8035529.0,0.0,0.0,0.0,0.0
Cuba,1968,CUB,0.0,4.0,0.0,4.0,Summer,,8550286.0,0.0,5.0,0.0,5.0
Norway,1968,NOR,1.0,1.0,0.0,2.0,Summer,2662117.492,3816486.0,14.0,16.0,8.0,38.0
Thailand,1968,THA,0.0,0.0,0.0,0.0,0,179872.37,33807357.0,0.0,0.0,0.0,0.0
Italy,1968,ITA,4.0,0.0,0.0,4.0,Winter,1651939.3769999999,53235750.0,27.0,21.0,24.0,72.0
Pakistan,1968,PAK,1.0,0.0,0.0,1.0,Summer,143287.94629999998,56124743.0,2.0,1.0,1.0,4.0
Jordan,1968,JOR,0.0,0.0,0.0,0.0,0,410631.6952,1366644.0,0.0,0.0,0.0,0.0
Austria,1968,AUT,0.0,2.0,2.0,4.0,Summer,1677673.528,7415403.0,9.0,14.0,12.0,35.0
Tajikistan,1968,TJK,0.0,0.0,0.0,0.0,0,,2806566.0,0.0,0.0,0.0,0.0
Morocco,1968,MAR,0.0,0.0,0.0,0.0,0,224749.00819999998,14490077.0,0.0,1.0,0.0,1.0
Argentina,1968,ARG,0.0,0.0,2.0,2.0,Summer,1143810.428,23112971.0,0.0,2.0,3.0,5.0
Colombia,1968,COL,0.0,0.0,0.0,0.0,0,299922.6051,19872503.0,0.0,0.0,0.0,0.0
Dominican Republic,1968,DOM,0.0,0.0,0.0,0.0,0,255053.5031,4230877.0,0.0,0.0,0.0,0.0
Finland,1968,FIN,1.0,2.0,2.0,5.0,Winter,1907077.2719999999,4626469.0,11.0,12.0,14.0,37.0
New Zealand,1968,NZL,1.0,0.0,2.0,3.0,Summer,1885156.152,2748100.0,6.0,0.0,5.0,11.0
Canada,1968,CAN,1.0,3.0,1.0,5.0,Summer,3462678.872,20744000.0,5.0,8.0,4.0,17.0
France,1968,FRA,4.0,3.0,2.0,9.0,Winter,2553975.8430000003,50817020.0,9.0,17.0,13.0,39.0
France,1968,FRA,7.0,3.0,5.0,15.0,Summer,2553975.8430000003,50817020.0,16.0,20.0,18.0,54.0
Italy,1968,ITA,3.0,4.0,9.0,16.0,Summer,1651939.3769999999,53235750.0,30.0,25.0,33.0,88.0
Trinidad and Tobago,1968,TTO,0.0,0.0,0.0,0.0,0,784231.4087,967699.0,0.0,1.0,2.0,3.0
Canada,1968,CAN,1.0,1.0,1.0,3.0,Winter,3462678.872,20744000.0,6.0,9.0,5.0,20.0
Panama,1968,PAN,0.0,0.0,0.0,0.0,0,776950.4034000001,1432255.0,0.0,0.0,0.0,0.0
Russian Federation,1968,RUS,0.0,0.0,0.0,0.0,0,,128928000.0,0.0,0.0,0.0,0.0
Guyana,1968,GUY,0.0,0.0,0.0,0.0,0,334967.7133,685887.0,0.0,0.0,0.0,0.0
Belarus,1968,BLR,0.0,0.0,0.0,0.0,0,,8874552.0,0.0,0.0,0.0,0.0
Kenya,1968,KEN,3.0,4.0,2.0,9.0,Summer,127502.46280000001,10613877.0,3.0,4.0,3.0,10.0
Brazil,1968,BRA,0.0,1.0,2.0,3.0,Summer,370180.4118,91659246.0,0.0,1.0,5.0,6.0
Ghana,1968,GHA,0.0,0.0,0.0,0.0,0,198013.7881,8418152.0,0.0,1.0,1.0,2.0
Spain,1968,ESP,0.0,0.0,0.0,0.0,0,950545.7406,33113134.0,0.0,0.0,1.0,1.0
Sweden,1968,SWE,3.0,2.0,3.0,8.0,Winter,3926409.001,7912273.0,12.0,11.0,13.0,36.0
Sweden,1968,SWE,2.0,1.0,1.0,4.0,Summer,3926409.001,7912273.0,14.0,12.0,14.0,40.0
Senegal,1968,SEN,0.0,0.0,0.0,0.0,0,317992.5366,4117659.0,0.0,0.0,0.0,0.0
Liechtenstein,1968,LIE,0.0,0.0,0.0,0.0,0,,20011.0,0.0,0.0,0.0,0.0
Belgium,1968,BEL,0.0,1.0,1.0,2.0,Summer,2222361.511,9618756.0,2.0,3.0,4.0,9.0
Ecuador,1968,ECU,0.0,0.0,0.0,0.0,0,443242.3905,5825663.0,0.0,0.0,0.0,0.0
